exp_name,method,dataset,order,seed,backbone,lr,lr_candidates,loss_selection,selection_loss,best_lr,best_loss,total_search_flops,storage_bytes,tasks,selection_loss_eval_flops,average_incremental_accuracy,final_average_accuracy,average_forgetting,mean_final_accuracy_loss,backward_transfer,worst_forgotten_task,forgetting_mean,forgetting_median,forgetting_std,forgetting_min,forgetting_q25,forgetting_q75,forgetting_max,forgetting_positive_fraction,task_end_seen_accuracy_curve,forgetting_per_task,intransigence,intransigence_mean,final_hidden_neurons,training_runtime_s,training_gpu_ms,initial_task_s,incremental_tasks_total_s,mean_incremental_task_s,median_incremental_task_s,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,replay_sample_bytes,replay_label_bytes,auxiliary_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,intransigence_reference_lr,intransigence_reference_file
texture-all,ewc,texture,1,52,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.5670392188158903,0.1,0.5670392188158903,6956079489983907,44699952,10,0,0.1517652849549775,0.09583333333333334,0.9259259259259258,0.9259259259259258,-0.9259259259259258,2,0.9259259259259258,1.0,0.20951312035156966,0.3333333333333333,1.0,1.0,1.0,1.0,"[0.3333333333333333,0.27472527472527475,0.1574074074074074,0.16279069767441862,0.1103448275862069,0.11042944785276074,0.09944751381215469,0.095,0.07834101382488479,0.09583333333333334]","[0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.6666666666666667,-0.31999999999999995,-1.0,0.0,0.0,0.0,-0.38888888888888884,0.0,0.0,0.0]",-0.1042222222222222,512,249.54754081601277,249561.4296875,20.158681105007418,229.38885971100535,25.487651079000596,25.061585279006977,2299463879852.6357,2318693163327969,2208364681657226,110328481670743,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.8327043959676909,11053.51318359375,0.1,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_texture-all/ewc/order1/joint_texture_ewc__order-1__seed-052.json
texture-all,ewc,texture,1,52,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,1.6937967554315345,0.1,0.5670392188158903,6956079489983907,44699952,10,0,0.16237134556103805,0.09583333333333334,0.9377104377104377,0.9377104377104377,-0.9377104377104377,2,0.9377104377104377,1.0,0.17618148756836538,0.4393939393939394,1.0,1.0,1.0,1.0,"[0.4393939393939394,0.27472527472527475,0.1574074074074074,0.16279069767441862,0.1103448275862069,0.11042944785276074,0.09944751381215469,0.095,0.07834101382488479,0.09583333333333334]","[0.4393939393939394,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.5606060606060606,-0.31999999999999995,-1.0,0.0,0.0,0.0,-0.38888888888888884,0.0,0.0,0.0]",-0.11482828282828282,512,254.9173053339764,254935.552734375,15.751127138995798,239.1661781949806,26.57401979944229,26.352207985997666,2299463879852.6357,2318693163327969,2208364681657226,110328481670743,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.7729283960846564,11046.8876953125,0.1,
texture-all,ewc,texture,1,52,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.6361646350328024,0.1,0.5670392188158903,6956079489983907,44699952,10,0,0.2184319516216441,0.09583333333333334,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.27472527472527475,0.1574074074074074,0.16279069767441862,0.1103448275862069,0.11042944785276074,0.09944751381215469,0.095,0.07834101382488479,0.09583333333333334]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.0,-0.31999999999999995,-1.0,0.0,0.0,0.0,-0.38888888888888884,0.0,0.0,0.0]",-0.17088888888888887,512,240.56392210299964,240581.56640625,17.3276545109984,223.23626759200124,24.804029732444583,24.851830461993814,2299463879852.6357,2318693163327969,2208364681657226,110328481670743,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.7025177542042608,11046.8876953125,0.1,
texture-all,ewc,texture,1,53,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.8970696484887755,0.05,0.006565039578293051,6956079489983907,44699952,10,0,0.17306857649102764,0.1,0.9412755000990296,0.9412755000990296,-0.9412755000990296,2,0.9412755000990296,1.0,0.1464537655361283,0.5303030303030303,1.0,1.0,1.0,1.0,"[0.5303030303030303,0.27472527472527475,0.1574074074074074,0.16279069767441862,0.11724137931034483,0.11042944785276074,0.09944751381215469,0.1,0.07834101382488479,0.1]","[0.5303030303030303,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0]","[0.4696969696969697,0.0,0.0,-1.0,0.0,-0.05555555555555558,0.0,0.0,0.0,0.0]",-0.05858585858585859,512,240.42674097095733,240448.0595703125,17.07737624901347,223.34936472194386,24.816596080215984,24.94091740899603,2299463879852.6357,2318693163327969,2208364681657226,110328481670743,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.7708969751547556,11046.8876953125,0.05,
texture-all,ewc,texture,1,53,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.006565039578293051,0.05,0.006565039578293051,6956079489983907,44699952,10,0,0.21962160679405787,0.09583333333333334,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.27472527472527475,0.1574074074074074,0.16279069767441862,0.11724137931034483,0.11042944785276074,0.09944751381215469,0.1,0.07834101382488479,0.09583333333333334]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.0,0.0,0.0,-1.0,0.0,-0.05555555555555558,0.0,0.0,0.0,0.0]",-0.10555555555555556,512,243.65376730292337,243668.8095703125,17.83888621997903,225.81488108294434,25.09054234254937,24.712158267997438,2299463879852.6357,2318693163327969,2208364681657226,110328481670743,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.7537391708562305,11046.8876953125,0.05,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_texture-all/ewc/order1/joint_texture_ewc__order-1__seed-053.json
texture-all,ewc,texture,1,53,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.13461238745745127,0.05,0.006565039578293051,6956079489983907,44699952,10,0,0.2184319516216441,0.09583333333333334,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.27472527472527475,0.1574074074074074,0.16279069767441862,0.1103448275862069,0.11042944785276074,0.09944751381215469,0.095,0.07834101382488479,0.09583333333333334]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.0,0.0,0.0,-1.0,0.0,-0.05555555555555558,0.0,0.0,0.0,0.0]",-0.10555555555555556,512,243.46554943098454,243486.9404296875,18.665190529980464,224.80035890100407,24.97781765566712,24.83433630800573,2299463879852.6357,2318693163327969,2208364681657226,110328481670743,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.8547638333160043,11046.8876953125,0.05,
texture-all,ewc,texture,1,54,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.2893369786151044,0.05,0.006544947104117313,6956079489983907,44699952,10,0,0.21944526730257694,0.09583333333333334,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.27472527472527475,0.1574074074074074,0.16279069767441862,0.1103448275862069,0.11042944785276074,0.10497237569060773,0.095,0.08294930875576037,0.09583333333333334]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.0,-0.6,0.0,0.0,0.0,0.0,-0.9444444444444444,0.0,0.0,0.0]",-0.15444444444444444,512,243.6384682939679,243661.3388671875,18.567655084014405,225.07081320995349,25.007868134439278,25.020488798996666,2299463879852.6357,2318693163327969,2208364681657226,110328481670743,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.7805912877908364,11046.8876953125,0.05,
texture-all,ewc,texture,1,54,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.006544947104117313,0.05,0.006544947104117313,6956079489983907,44699952,10,0,0.22009793474200473,0.09583333333333334,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.27472527472527475,0.1574074074074074,0.16279069767441862,0.1103448275862069,0.1165644171779141,0.10497237569060773,0.1,0.07834101382488479,0.09583333333333334]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.0,-0.6,0.0,0.0,0.0,0.0,-0.9444444444444444,0.0,0.0,0.0]",-0.15444444444444444,512,245.23159645296982,245254.9931640625,18.18547651800327,227.04611993496655,25.227346659440727,25.235218229994643,2299463879852.6357,2318693163327969,2208364681657226,110328481670743,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.7669138957377678,11046.8876953125,0.05,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_texture-all/ewc/order1/joint_texture_ewc__order-1__seed-054.json
texture-all,ewc,texture,1,54,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.09988305785439232,0.05,0.006544947104117313,6956079489983907,44699952,10,0,0.2184319516216441,0.09583333333333334,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.27472527472527475,0.1574074074074074,0.16279069767441862,0.1103448275862069,0.11042944785276074,0.09944751381215469,0.095,0.07834101382488479,0.09583333333333334]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.0,-0.6,0.0,0.0,0.0,0.0,-0.9444444444444444,0.0,0.0,0.0]",-0.15444444444444444,512,253.60630861402024,253625.0390625,18.403950870007975,235.20235774401226,26.13359530489025,25.25565343501512,2299463879852.6357,2318693163327969,2208364681657226,110328481670743,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.8213119957266221,11046.8876953125,0.05,
texture-all,ewc,texture,1,55,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,2.377584928041929,0.05,0.007545200116061545,6956079489983907,44699952,10,0,0.1517652849549775,0.09583333333333334,0.9259259259259258,0.9259259259259258,-0.9259259259259258,2,0.9259259259259258,1.0,0.20951312035156966,0.3333333333333333,1.0,1.0,1.0,1.0,"[0.3333333333333333,0.27472527472527475,0.1574074074074074,0.16279069767441862,0.1103448275862069,0.11042944785276074,0.09944751381215469,0.095,0.07834101382488479,0.09583333333333334]","[0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.5151515151515151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.051515151515151514,512,266.1718120010046,266190.9931640625,20.30809356601094,245.86371843499364,27.318190937221516,26.552531600988004,2299463879852.6357,2318693163327969,2208364681657226,110328481670743,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.8062780209002085,11046.8876953125,0.05,
texture-all,ewc,texture,1,55,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.007545200116061545,0.05,0.007545200116061545,6956079489983907,44699952,10,0,0.2266216067940579,0.09583333333333334,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.27472527472527475,0.1574074074074074,0.16279069767441862,0.11724137931034483,0.11042944785276074,0.09944751381215469,0.17,0.07834101382488479,0.09583333333333334]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-0.1515151515151515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.015151515151515148,512,261.9348793599347,261951.9873046875,18.849849356978666,243.08503000295605,27.009447778106228,26.966208346013445,2299463879852.6357,2318693163327969,2208364681657226,110328481670743,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.8186246544937603,11046.8876953125,0.05,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_texture-all/ewc/order1/joint_texture_ewc__order-1__seed-055.json
texture-all,ewc,texture,1,55,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.05846009074480503,0.05,0.007545200116061545,6956079489983907,44699952,10,0,0.2184319516216441,0.09583333333333334,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.27472527472527475,0.1574074074074074,0.16279069767441862,0.1103448275862069,0.11042944785276074,0.09944751381215469,0.095,0.07834101382488479,0.09583333333333334]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-0.1515151515151515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.015151515151515148,512,261.4271089179965,261450.333984375,20.455381254985696,240.97172766301082,26.774636407001204,26.20678814398707,2299463879852.6357,2318693163327969,2208364681657226,110328481670743,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.8203329456591746,11046.8876953125,0.05,
texture-all,ewc,texture,1,56,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.5341921665451743,0.01,0.18003196066076105,6956079489983907,44699952,10,0,0.1517652849549775,0.09583333333333334,0.9259259259259258,0.9259259259259258,-0.9259259259259258,2,0.9259259259259258,1.0,0.20951312035156966,0.3333333333333333,1.0,1.0,1.0,1.0,"[0.3333333333333333,0.27472527472527475,0.1574074074074074,0.16279069767441862,0.1103448275862069,0.11042944785276074,0.09944751381215469,0.095,0.07834101382488479,0.09583333333333334]","[0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.6666666666666667,0.0,-0.7058823529411764,0.0,0.0,-0.5,0.0,0.0,-0.05882352941176472,0.0]",-0.05980392156862744,512,255.60813193005743,255627.8349609375,18.253151459997753,237.35498047005967,26.37277560778441,25.903911745001096,2299463879852.6357,2318693163327969,2208364681657226,110328481670743,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.7772961998853134,11046.8876953125,0.01,
texture-all,ewc,texture,1,56,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.7477499610417849,0.01,0.18003196066076105,6956079489983907,44699952,10,0,0.16581831525800778,0.1,0.9345414933650227,0.9345414933650227,-0.9345414933650227,2,0.9345414933650227,1.0,0.16536765999268324,0.4696969696969697,1.0,1.0,1.0,1.0,"[0.4696969696969697,0.27472527472527475,0.1574074074074074,0.16279069767441862,0.1103448275862069,0.11042944785276074,0.09944751381215469,0.095,0.07834101382488479,0.1]","[0.4696969696969697,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0]","[0.5303030303030303,0.0,-0.7058823529411764,0.0,0.0,-0.5,0.0,0.0,-0.05882352941176472,0.0]",-0.07344028520499109,512,252.85291436509578,252872.7294921875,18.414415500999894,234.4384988640959,26.048722096010653,25.700380432012025,2299463879852.6357,2318693163327969,2208364681657226,110328481670743,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.881225912598893,11046.8876953125,0.01,
texture-all,ewc,texture,1,56,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.18003196066076105,0.01,0.18003196066076105,6956079489983907,44699952,10,0,0.2184319516216441,0.09583333333333334,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.27472527472527475,0.1574074074074074,0.16279069767441862,0.1103448275862069,0.11042944785276074,0.09944751381215469,0.095,0.07834101382488479,0.09583333333333334]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.0,0.0,-0.7058823529411764,0.0,0.0,-0.5,0.0,0.0,-0.05882352941176472,0.0]",-0.1264705882352941,512,255.5615254630393,255584.0830078125,18.281797797011677,237.2797276660276,26.36441418511418,25.76863383501768,2299463879852.6357,2318693163327969,2208364681657226,110328481670743,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.6795547959579077,11046.8876953125,0.01,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_texture-all/ewc/order1/joint_texture_ewc__order-1__seed-056.json
texture-all,ewc,texture,2,52,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.011156169107047522,0.05,0.003537243555822387,6956079482605599,44699952,10,0,0.23454786926539145,0.075,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.31645569620253167,0.19387755102040816,0.18333333333333332,0.16083916083916083,0.11180124223602485,0.125,0.0845771144278607,0.0945945945945946,0.075]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-0.01851851851851849,0.0,0.0,0.0,0.0,0.0,-0.30434782608695654,0.0,-0.09523809523809523,0.0]",-0.04181044398435703,512,254.79450277000433,254815.8544921875,19.25927525301813,235.5352275169862,26.17058083522069,26.221863068989478,2299465328145.7275,2318693160868533,2208364679314906,110328481553627,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.7710514373078089,11055.09521484375,0.05,
texture-all,ewc,texture,2,52,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.003537243555822387,0.05,0.003537243555822387,6956079482605599,44699952,10,0,0.23454786926539145,0.075,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.31645569620253167,0.19387755102040816,0.18333333333333332,0.16083916083916083,0.11180124223602485,0.125,0.0845771144278607,0.0945945945945946,0.075]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-0.01851851851851849,0.0,0.0,0.0,0.0,0.0,-0.30434782608695654,0.0,-0.09523809523809523,0.0]",-0.04181044398435703,512,253.79760438299854,253815.9736328125,18.057919500977732,235.7396848820208,26.193298320224535,25.79229809399112,2299465328145.7275,2318693160868533,2208364679314906,110328481553627,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.8991314665763639,11055.09521484375,0.05,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_texture-all/ewc/order2/joint_texture_ewc__order-2__seed-052.json
texture-all,ewc,texture,2,52,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.30589713919453504,0.05,0.003537243555822387,6956079482605599,44699952,10,0,0.23454786926539145,0.075,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.31645569620253167,0.19387755102040816,0.18333333333333332,0.16083916083916083,0.11180124223602485,0.125,0.0845771144278607,0.0945945945945946,0.075]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-0.01851851851851849,0.0,0.0,0.0,0.0,0.0,-0.30434782608695654,0.0,-0.09523809523809523,0.0]",-0.04181044398435703,512,253.86687647301005,253887.6328125,19.851013662992045,234.015862810018,26.001762534446446,26.266793034010334,2299465328145.7275,2318693160868533,2208364679314906,110328481553627,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.8122195875330362,11055.09521484375,0.05,
texture-all,ewc,texture,2,53,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.14476752135811782,0.05,0.005672683712185883,6956079482605599,44699952,10,0,0.2326960174135396,0.075,0.9979423868312757,0.9979423868312757,-0.9979423868312757,2,0.9979423868312757,1.0,0.005819808898654703,0.9814814814814815,1.0,1.0,1.0,1.0,"[0.9814814814814815,0.31645569620253167,0.19387755102040816,0.18333333333333332,0.16083916083916083,0.11180124223602485,0.125,0.0845771144278607,0.0945945945945946,0.075]","[0.9814814814814815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.01851851851851849,-0.19999999999999996,0.0,0.0,0.0,0.0,-0.6086956521739131,-0.23529411764705888,0.0,0.0]",-0.10254712513024535,512,249.28012695899815,249301.5048828125,20.98975786397932,228.29036909501883,25.365596566113204,25.3799717539805,2299465328145.7275,2318693160868533,2208364679314906,110328481553627,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.788118129275972,11055.09521484375,0.05,
texture-all,ewc,texture,2,53,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.005672683712185883,0.05,0.005672683712185883,6956079482605599,44699952,10,0,0.23454786926539145,0.075,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.31645569620253167,0.19387755102040816,0.18333333333333332,0.16083916083916083,0.11180124223602485,0.125,0.0845771144278607,0.0945945945945946,0.075]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.0,-0.19999999999999996,0.0,0.0,0.0,0.0,-0.6086956521739131,-0.23529411764705888,0.0,0.0]",-0.10439897698209719,512,246.52437914002803,246544.2646484375,18.701221294992138,227.8231578450359,25.313684205003987,25.297608176013455,2299465328145.7275,2318693160868533,2208364679314906,110328481553627,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.875486650087017,11055.09521484375,0.05,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_texture-all/ewc/order2/joint_texture_ewc__order-2__seed-053.json
texture-all,ewc,texture,2,53,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.46432421338267443,0.05,0.005672683712185883,6956079482605599,44699952,10,0,0.23454786926539145,0.075,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.31645569620253167,0.19387755102040816,0.18333333333333332,0.16083916083916083,0.11180124223602485,0.125,0.0845771144278607,0.0945945945945946,0.075]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.0,-0.19999999999999996,0.0,0.0,0.0,0.0,-0.6086956521739131,-0.23529411764705888,0.0,0.0]",-0.10439897698209719,512,256.97458297296544,256998.033203125,18.552097634994425,238.422485337971,26.491387259774555,25.526815328979865,2299465328145.7275,2318693160868533,2208364679314906,110328481553627,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.8803784290648764,11055.09521484375,0.05,
texture-all,ewc,texture,2,54,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.00014802149820663943,0.1,0.00014802149820663943,6956079482605599,44699952,10,0,0.23454786926539145,0.075,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.31645569620253167,0.19387755102040816,0.18333333333333332,0.16083916083916083,0.11180124223602485,0.125,0.0845771144278607,0.0945945945945946,0.075]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-0.11111111111111116,-0.31999999999999995,0.0,0.0,0.0,-0.6666666666666667,-1.0,0.0,-0.1428571428571429,0.0]",-0.22406349206349208,512,255.0195921040431,255043.0849609375,19.09784682301688,235.92174528102623,26.21352725344736,25.7955024910043,2299465328145.7275,2318693160868533,2208364679314906,110328481553627,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.8110472495900467,11055.09521484375,0.1,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_texture-all/ewc/order2/joint_texture_ewc__order-2__seed-054.json
texture-all,ewc,texture,2,54,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.007338589716066674,0.1,0.00014802149820663943,6956079482605599,44699952,10,0,0.2349983197158419,0.075,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.31645569620253167,0.19387755102040816,0.18333333333333332,0.16083916083916083,0.11180124223602485,0.125,0.0845771144278607,0.0990990990990991,0.075]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-0.11111111111111116,-0.31999999999999995,0.0,0.0,0.0,-0.6666666666666667,-1.0,0.0,-0.1428571428571429,0.0]",-0.22406349206349208,512,255.3809356300044,255398.3935546875,21.20559773000423,234.17533790000016,26.019481988888906,25.10751858499134,2299465328145.7275,2318693160868533,2208364679314906,110328481553627,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.7517124709314279,11055.09521484375,0.1,
texture-all,ewc,texture,2,54,resnet18_cifar,0.01,"[0.1,0.05,0.01]",last_epoch_train_mean,0.6635878027939215,0.1,0.00014802149820663943,6956079482605599,44699952,10,0,0.23454786926539145,0.075,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.31645569620253167,0.19387755102040816,0.18333333333333332,0.16083916083916083,0.11180124223602485,0.125,0.0845771144278607,0.0945945945945946,0.075]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[-0.11111111111111116,-0.31999999999999995,0.0,0.0,0.0,-0.6666666666666667,-1.0,0.0,-0.1428571428571429,0.0]",-0.22406349206349208,512,239.68355787402834,239697.5361328125,18.67485473002307,221.00870314400527,24.55652257155614,22.971178161998978,2299465328145.7275,2318693160868533,2208364679314906,110328481553627,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.42309591262892354,11055.09521484375,0.1,
texture-all,ewc,texture,2,55,resnet18_cifar,0.1,"[0.1,0.05,0.01]",last_epoch_train_mean,0.21789224082376898,0.05,0.005657245859322025,6956079482605599,44699952,10,0,0.2215849063024285,0.075,0.98559670781893,0.98559670781893,-0.98559670781893,2,0.98559670781893,1.0,0.04073866229058299,0.8703703703703703,1.0,1.0,1.0,1.0,"[0.8703703703703703,0.31645569620253167,0.19387755102040816,0.18333333333333332,0.16083916083916083,0.11180124223602485,0.125,0.0845771144278607,0.0945945945945946,0.075]","[0.8703703703703703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.12962962962962965,-0.19999999999999996,0.0,0.0,0.0,0.0,0.0,-0.8823529411764706,0.0,0.0]",-0.09527233115468409,512,231.3921754840121,231400.34765625,11.171582520008087,220.22059296400403,24.468954773778226,23.175382037006784,2299465328145.7275,2318693160868533,2208364679314906,110328481553627,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.423820833505791,11055.09521484375,0.05,
texture-all,ewc,texture,2,55,resnet18_cifar,0.05,"[0.1,0.05,0.01]",last_epoch_train_mean,0.005657245859322025,0.05,0.005657245859322025,6956079482605599,44699952,10,0,0.23454786926539145,0.075,1.0,1.0,-1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"[1.0,0.31645569620253167,0.19387755102040816,0.18333333333333332,0.16083916083916083,0.11180124223602485,0.125,0.0845771144278607,0.0945945945945946,0.075]","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]","[0.0,-0.19999999999999996,0.0,0.0,0.0,0.0,0.0,-0.8823529411764706,0.0,0.0]",-0.10823529411764705,512,227.25479917303892,227262.7841796875,11.17568051800481,216.0791186550341,24.008790961670456,23.05246838898165,2299465328145.7275,2318693160868533,2208364679314906,110328481553627,38301453324,44699952,0,0,938737564,983437516,937.8791007995605,0.4253759959586508,11055.09521484375,0.05,/nobackup/proj/disk/naiss2026-4-902/shared/yizhil/Avalanche/avalanche-master/joint_result_texture-all/ewc/order2/joint_texture_ewc__order-2__seed-055.json
